sample,sample_code,species,region,sample_type,order,sex,country,latitude,longitude,singlem_fraction,reads_post_fastp,host_reads,reads_lost_fastp_percent,metagenomic_bases,host_bases,bases_lost_fastp_percent,diversity,C,season,type,richness,neutral,phylogenetic,functional
EHI01620,AAP88E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.3884,18673426,16104,0.03633401811421588,2752488903,2882104,0.05203708310041699,19.5401590728312,0.693614565634277,spring,natural,150,97.5619850199617,5.377430321300084,1.5227589296787456
EHI02606,AGO23E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7299,36919162,5682,0.01964946415138913,5435331711,840830,0.03765337116177325,15.2603383192318,0.959600561684017,autumn,natural,25,2.7385700044135284,1.4315252213610403,1.1758833921178837
EHI01618,AAP86E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.4261,19810942,10287,0.03612336645031966,2923106168,1938639,0.0512373274819089,19.598199820478,0.707565665982226,spring,natural,203,128.996013414379,6.936683174199623,1.5250383282538527
EHI01447,AAO96E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.8206,16123408,5777,0.02157849384064569,2397840255,928745,0.02956530533810708,17.262979923079,0.825136240944234,spring,natural,111,16.28465422426856,4.032884391103332,1.541000766180301
EHI02604,AGP63E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.7827,18923946,239,0.03045260532022975,2794213584,33019,0.0455991528646833,18.5455719246911,0.853720884617656,autumn,protected,162,92.61001667227873,4.609974042888154,1.6244725036684404
EHI01444,AAO92E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.5692,27854448,47442,0.02636674183243403,4128919564,8828658,0.0357855274765182,18.6822392073483,0.825824988448631,spring,protected,113,55.50622180609317,6.592890405410427,1.6102625208564492
EHI01627,AAQ17E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.637,22018154,5153,0.01930064126724462,3251961390,652453,0.03417991352790583,19.099671466985,0.818730157862558,spring,protected,255,137.19322050365594,8.506691079223193,1.5478420748813462
EHI02085,AGO69E3L1I1,Lissotriton helveticus,Villabona,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.163074,-2.013934,0.2724,28399010,138608,0.05949161365138555,3931649651,18462021,0.12787730874431946,19.979887199748,0.685511622745678,autumn,natural,119,69.4544115350817,8.416795299642727,1.4966209199711833
EHI02616,AGP26E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.6956,19459858,1659,0.03117228411612793,2865528339,239190,0.04883341239343808,17.1030258007895,0.939152670230694,autumn,protected,48,19.80135186035576,2.783610998105246,1.4160266274479771
EHI02594,AGO13E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.5342,20670374,8093,0.02425349426109047,3028379223,1254245,0.04657288088718847,21.0885263114871,0.464495461834863,autumn,natural,53,13.033306444688412,4.341358712131912,1.425308188192654
EHI02642,AGP41E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.5771000000000001,46764592,4775,0.02958431357966307,6876145832,765507,0.04864451898600497,21.8878242079225,0.479846472067243,autumn,natural,85,34.041610485029956,10.48567654718078,1.6358163393965646
EHI02646,AGO34E1L1I1,Lissotriton helveticus,Orio,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.284951,-2.123305,0.5367000000000001,52031904,53061,0.02598840401413626,7654399287,8032777,0.04375365752649296,21.254864572004,0.635298046669304,autumn,urban,51,23.567449730447944,8.229600694179037,1.584748695222862
EHI02613,AGP34E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.6343,23299054,9472,0.01994315776030841,3427484227,1431597,0.03843523295691176,18.1163338668189,0.899708898406036,autumn,protected,105,41.38859276425717,2.808799061338765,1.4354979098979377
EHI01625,AAP81E1L1I1,Lissotriton helveticus,Eskoriatza,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,42.967698,-2.504041,0.6331,27957996,23779,0.02023170307500388,4141361957,4361014,0.03144037104340258,18.7673482394902,0.857904315044854,spring,protected,213,94.05996297692612,6.144883457567681,1.5206222928754802
EHI02109,AAQ18E3L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.3762,37890734,70128,0.12016988078242574,5167299078,8847543,0.1987258769488649,20.2431939651054,0.771608418814394,autumn,protected,15,8.921451997323265,4.006908214185962,1.3758433247871382
EHI02579,AGO24E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5549000000000001,27405650,1684,0.02129858045413379,4029585276,316117,0.0405700493732829,18.9496299182186,0.838696543518898,autumn,natural,153,64.83872010544417,4.6724761125299645,1.4653038890158707
EHI01448,AGO82E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6978,35222208,8837,0.02257813959051313,5237386393,1447619,0.03081016643712664,18.9392735046632,0.905403605552628,spring,urban,280,142.2957379000912,6.520822043939126,1.512558744512841
EHI02599,AGP61E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.5314,33169034,17659,0.03082085290131953,4885223653,2994709,0.04779473872824291,18.6412625414697,0.868998306118332,autumn,protected,151,55.67995248377754,4.163514626533611,1.546548787671062
EHI02589,AGO37E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5908,28451480,7041,0.0224433946861069,4185843002,1172553,0.04092986554834965,19.1026218020732,0.809242731353414,autumn,natural,186,82.7209599144784,4.137971369919825,1.478907692138415
EHI01623,AAP80E1L1I1,Lissotriton helveticus,Eskoriatza,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,42.967698,-2.504041,0.6978,25052302,752,0.02356891937135308,3709388615,111578,0.0361308162304701,18.3852213839209,0.890619880412952,spring,protected,193,67.36219549403475,6.640099332405451,1.6398762978044414
EHI01628,AAP87E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.5001,21017784,13665,0.02528217160719537,3101183225,2521283,0.04042020858440065,19.3746368457096,0.755022046441676,spring,natural,243,138.38936378204488,5.293387730079418,1.4774419373382295
EHI02634,AGP07E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.5061,38733832,7010,0.0310676568060475,5715927331,1091891,0.0465863140251952,18.5284782227946,0.859286002452205,autumn,protected,122,36.12927579678326,3.2627970096809387,1.458806108562474
EHI01611,AAO95E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.5895,21564542,12079,0.02512601751383725,3187394291,2113926,0.03874036132118175,20.8121851653801,0.542772356924385,spring,natural,139,72.55636702353158,6.910344587731327,1.517739862708269
EHI02640,AGP62E1L1I1,Lissotriton helveticus,Oñati,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.064204,-2.3987,0.5977,30562312,16710,0.02196082276569833,4482784875,2568987,0.04308029209413711,18.3895349295358,0.84652755622487,autumn,natural,240,53.00954173358113,6.937906152301814,1.4238350127281827
EHI02636,AGP35E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.7545000000000001,51316508,2517,0.02408405710767136,7548440779,408731,0.04292752638794217,17.5582972089572,0.929879525185922,autumn,protected,104,23.422927710603034,4.50151093902503,1.5216307625857657
EHI02578,AGO22E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6655,32014256,2339,0.02204245048407804,4721594309,370817,0.03836977219927662,18.8954837631562,0.858822372244966,autumn,urban,253,94.86022535188829,4.743509009733111,1.4831444097872968
EHI01616,AGO80E1L1I1,Lissotriton helveticus,Donostia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.280226,-2.009986,0.6271,22643510,5289,0.02508820421614988,3349969716,846441,0.0382085354074495,19.2322003860462,0.753557737344052,spring,urban,274,102.51008039090517,7.050260999772554,1.5420420421930188
EHI01584,AAQ19E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.6744,38479706,8792,0.03372035372131998,5659141508,1124632,0.05241826889176515,18.6932412494968,0.874794870657568,spring,protected,283,94.06173178552176,6.381138219814775,1.5321657020614805
EHI02637,AGP16E1L1I1,Lissotriton helveticus,Zarautz,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.288526,-2.189324,0.677,47765216,1688,0.01859110632441152,7042522809,313024,0.03529495561465734,18.5099056050031,0.908863087497833,autumn,protected,212,68.08154570504745,3.3069774882278096,1.4265806900667861
EHI01445,AAQ15E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.7390000000000001,23851538,2771,0.05663547897678644,3548815093,493809,0.06412964723737924,18.7372141265382,0.868970518326558,spring,protected,216,96.28446439643903,5.414103555269265,1.4630195255811411
EHI01443,AAP46E1L1I1,Lissotriton helveticus,Irun,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.326249,-1.77319,0.7086,18447266,10217,0.02107541648933741,2741501491,1670709,0.02953687793698789,18.8080158693295,0.777984604109689,spring,natural,201,71.68012991704137,7.920495690553029,1.6156836923414013
EHI02638,AGO35E1L1I1,Lissotriton helveticus,Usurbil,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.294316,-2.046839,0.6716,35881840,11667,0.03100265234568511,5284832767,1869868,0.04820919047033678,18.5069187549103,0.768160785638092,autumn,natural,166,38.49839994442479,6.529278309081664,1.7305445132916193
EHI02622,AGP08E1L1I1,Lissotriton helveticus,Aia,Faecal,Urodela,Male,recIUTmSxiyqoU5lQ,43.260047,-2.151175,0.6409999999999999,31055956,1900,0.02725683093382791,4583173134,285185,0.04290441195739925,18.8913194068009,0.86613572447034,autumn,protected,142,74.18615747906787,4.133452130589327,1.5245446342423516
